web-scraper-order,web-scraper-start-url,fecha,Hora,Condiciones meteorológicas,Tem,Viento,Hum,Presión,pagination
"1680688118-388","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","18:30","Nubes dispersas","22°","11 km/h","78%","1009 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-389","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","19:00","Nubes dispersas","22°","11 km/h","78%","1010 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-390","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","19:30","Nubes dispersas","22°","9 km/h","78%","1010 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-391","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","20:00","Parcialmente cubierto","22°","7 km/h","78%","1011 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-392","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","20:30","Parcialmente cubierto","21°","6 km/h","83%","1011 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-393","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","21:00","Parcialmente cubierto","21°","9 km/h","83%","1012 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-394","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","21:30","Parcialmente cubierto","21°","9 km/h","83%","1012 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-395","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","22:00","Parcialmente cubierto","21°","6 km/h","83%","1012 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-396","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","22:30","Parcialmente cubierto","21°","6 km/h","83%","1012 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-397","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","23:00","Nubes dispersas","21°","6 km/h","83%","1012 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-398","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","23:30","Nubes dispersas","21°","7 km/h","83%","1012 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688121-399","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","00:00","Nubes dispersas","21°","9 km/h","83%","1012 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680688121-400","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","null","null","null","null","null","null","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680688121-401","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","00:30","Mayormente cubierto","21°","9 km/h","88%","1012 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680688121-402","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","01:00","Parcialmente cubierto","21°","6 km/h","88%","1012 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680688121-403","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","01:30","Parcialmente cubierto","20°","7 km/h","94%","1012 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680688121-404","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","02:00","Parcialmente cubierto","20°","7 km/h","94%","1012 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680688121-405","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","02:30","Parcialmente cubierto","21°","7 km/h","88%","1012 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680688121-406","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","03:00","Parcialmente cubierto","21°","6 km/h","88%","1012 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680688121-407","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","03:30","Parcialmente cubierto","21°","7 km/h","88%","1012 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680688121-408","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","04:00","Parcialmente cubierto","20°","9 km/h","88%","1013 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680688121-409","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","04:30","Parcialmente cubierto","20°","9 km/h","94%","1013 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680688121-410","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","05:00","Parcialmente cubierto","20°","9 km/h","94%","1013 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680688121-411","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","05:30","Nubes dispersas","20°","7 km/h","88%","1013 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680688121-412","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","06:00","Nubes dispersas","20°","6 km/h","88%","1013 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680688121-413","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","06:30","Nubes dispersas","20°","7 km/h","88%","1013 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680688121-414","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","07:00","Nubes dispersas","20°","7 km/h","88%","1014 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680688121-415","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","07:30","Nubes dispersas","20°","7 km/h","88%","1014 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680688121-416","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","08:00","Nubes dispersas","20°","9 km/h","88%","1014 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680688121-417","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","08:30","Nubes dispersas","21°","6 km/h","83%","1014 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680688121-418","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","09:00","Nubes dispersas","21°","2 km/h","88%","1015 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680688121-419","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","09:30","Nubes dispersas","22°","En calma","83%","1015 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680688121-420","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","10:00","Nubes dispersas","22°","6 km/h","83%","1015 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680688121-421","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","10:30","Nubes dispersas","22°","7 km/h","83%","1015 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680688121-422","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","11:00","Nubes dispersas","23°","7 km/h","78%","1016 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680688121-423","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","11:30","Nubes dispersas","23°","7 km/h","78%","1015 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680688121-424","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","12:00","Nubes dispersas","23°","7 km/h","83%","1015 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680688121-425","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","12:30","Nubes dispersas","24°","6 km/h","69%","1015 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680688121-426","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","13:00","Nubes dispersas","24°","9 km/h","69%","1015 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680688121-427","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","13:30","Nubes dispersas","24°","13 km/h","74%","1014 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680688121-428","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","14:00","Nubes dispersas","24°","13 km/h","69%","1014 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680688121-429","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","14:30","Nubes dispersas","24°","9 km/h","69%","1014 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680688121-430","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","15:00","Nubes dispersas","23°","15 km/h","78%","1014 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680688121-431","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","15:30","Nubes dispersas","24°","17 km/h","74%","1014 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680688121-432","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","16:00","Nubes dispersas","24°","17 km/h","78%","1014 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
